url,main_category,sub_category,n_peps,peps
https://docs.python.org/3/library/platform.html,platform,platform,0,[]
https://docs.python.org/3/library/plistlib.html,plistlib,plistlib,0,[]
https://docs.python.org/3/library/poplib.html,poplib,poplib,0,[]
https://docs.python.org/3/library/posix.html,posix,posix,0,[]
https://docs.python.org/3/library/pprint.html,pprint,pprint,0,[]
https://docs.python.org/3/library/profile.html,profile,profile,0,[]
https://docs.python.org/3/library/pty.html,pty,pty,0,[]
https://docs.python.org/3/library/pwd.html,pwd,pwd,0,[]
https://docs.python.org/3/library/pyclbr.html,pyclbr,pyclbr,0,[]
https://docs.python.org/3/library/pydoc.html,pydoc,pydoc,0,[]
https://docs.python.org/3/library/sndhdr.html,sndhdr,sndhdr,0,[]
https://docs.python.org/3/library/superseded.html,superseded,superseded,0,[]
https://docs.python.org/3/library/socketserver.html,socketserver,socketserver,0,[]
https://docs.python.org/3/library/urllib.robotparser.html,urllib,urllib.robotparser,0,[]
https://docs.python.org/3/library/windows.html,windows,windows,0,[]
https://docs.python.org/3/library/webbrowser.html,webbrowser,webbrowser,0,[]
https://docs.python.org/3/library/wave.html,wave,wave,0,[]
https://docs.python.org/3/library/warnings.html,warnings,warnings,0,[]
https://docs.python.org/3/library/uuid.html,uuid,uuid,0,[]
https://docs.python.org/3/library/uu.html,uu,uu,0,[]
https://docs.python.org/3/library/urllib.request.html,urllib,urllib.request,0,[]
https://docs.python.org/3/library/unicodedata.html,unicodedata,unicodedata,0,[]
https://docs.python.org/3/library/urllib.parse.html,urllib,urllib.parse,0,[]
https://docs.python.org/3/library/urllib.html,urllib,urllib,0,[]
https://docs.python.org/3/library/urllib.error.html,urllib,urllib.error,0,[]
https://docs.python.org/3/library/unix.html,unix,unix,0,[]
https://docs.python.org/3/library/unittest.mock.html,unittest,unittest.mock,0,[]
https://docs.python.org/3/library/unittest.mock-examples.html,unittest,unittest.mock-examples,0,[]
https://docs.python.org/3/library/winreg.html,winreg,winreg,0,[]
https://docs.python.org/3/library/winsound.html,winsound,winsound,0,[]
https://docs.python.org/3/library/xdrlib.html,xdrlib,xdrlib,0,[]
https://docs.python.org/3/library/xml.dom.html,xml,xml.dom,0,[]
https://docs.python.org/3/library/xml.dom.minidom.html,xml,xml.dom.minidom,0,[]
https://docs.python.org/3/library/xml.dom.pulldom.html,xml,xml.dom.pulldom,0,[]
https://docs.python.org/3/library/xml.etree.elementtree.html,xml,xml.etree.elementtree,0,[]
https://docs.python.org/3/library/xml.html,xml,xml,0,[]
https://docs.python.org/3/library/xml.sax.handler.html,xml,xml.sax.handler,0,[]
https://docs.python.org/3/library/xml.sax.html,xml,xml.sax,0,[]
https://docs.python.org/3/library/xml.sax.reader.html,xml,xml.sax.reader,0,[]
https://docs.python.org/3/library/xml.sax.utils.html,xml,xml.sax.utils,0,[]
https://docs.python.org/3/library/xmlrpc.client.html,xmlrpc,xmlrpc.client,0,[]
https://docs.python.org/3/library/xmlrpc.html,xmlrpc,xmlrpc,0,[]
https://docs.python.org/3/library/xmlrpc.server.html,xmlrpc,xmlrpc.server,0,[]
https://docs.python.org/3/library/zipapp.html,zipapp,zipapp,0,[]
https://docs.python.org/3/library/zipfile.html,zipfile,zipfile,0,[]
https://docs.python.org/3/library/unittest.html,unittest,unittest,0,[]
https://docs.python.org/3/library/undoc.html,undoc,undoc,0,[]
https://docs.python.org/3/library/spwd.html,spwd,spwd,0,[]
https://docs.python.org/3/library/symbol.html,symbol,symbol,0,[]
https://docs.python.org/3/library/telnetlib.html,telnetlib,telnetlib,0,[]
https://docs.python.org/3/library/tarfile.html,tarfile,tarfile,0,[]
https://docs.python.org/3/library/tabnanny.html,tabnanny,tabnanny,0,[]
https://docs.python.org/3/library/syslog.html,syslog,syslog,0,[]
https://docs.python.org/3/library/sysconfig.html,sysconfig,sysconfig,0,[]
https://docs.python.org/3/library/symtable.html,symtable,symtable,0,[]
https://docs.python.org/3/library/modulefinder.html,modulefinder,modulefinder,0,[]
https://docs.python.org/3/library/turtle.html,turtle,turtle,0,[]
https://docs.python.org/3/library/sunau.html,sunau,sunau,0,[]
https://docs.python.org/3/library/struct.html,struct,struct,0,[]
https://docs.python.org/3/library/stringprep.html,stringprep,stringprep,0,[]
https://docs.python.org/3/library/statistics.html,statistics,statistics,0,[]
https://docs.python.org/3/library/stat.html,stat,stat,0,[]
https://docs.python.org/3/library/ssl.html,ssl,ssl,0,[]
https://docs.python.org/3/library/tempfile.html,tempfile,tempfile,0,[]
https://docs.python.org/3/library/termios.html,termios,termios,0,[]
https://docs.python.org/3/library/test.html,test,test,0,[]
https://docs.python.org/3/library/text.html,text,text,0,[]
https://docs.python.org/3/library/textwrap.html,textwrap,textwrap,0,[]
https://docs.python.org/3/library/threading.html,threading,threading,0,[]
https://docs.python.org/3/library/timeit.html,timeit,timeit,0,[]
https://docs.python.org/3/library/tk.html,tk,tk,0,[]
https://docs.python.org/3/library/tkinter.html,tkinter,tkinter,0,[]
https://docs.python.org/3/library/tkinter.scrolledtext.html,tkinter,tkinter.scrolledtext,0,[]
https://docs.python.org/3/library/tkinter.tix.html,tkinter,tkinter.tix,0,[]
https://docs.python.org/3/library/tkinter.ttk.html,tkinter,tkinter.ttk,0,[]
https://docs.python.org/3/library/token.html,token,token,0,[]
https://docs.python.org/3/library/trace.html,trace,trace,0,[]
https://docs.python.org/3/library/traceback.html,traceback,traceback,0,[]
https://docs.python.org/3/library/tracemalloc.html,tracemalloc,tracemalloc,0,[]
https://docs.python.org/3/library/tty.html,tty,tty,0,[]
https://docs.python.org/3/library/modules.html,modules,modules,0,[]
https://docs.python.org/3/library/logging.handlers.html,logging,logging.handlers,0,[]
https://docs.python.org/3/library/mmap.html,mmap,mmap,0,[]
https://docs.python.org/3/library/concurrent.html,concurrent,concurrent,0,[]
https://docs.python.org/3/library/crypto.html,crypto,crypto,0,[]
https://docs.python.org/3/library/crypt.html,crypt,crypt,0,[]
https://docs.python.org/3/library/copyreg.html,copyreg,copyreg,0,[]
https://docs.python.org/3/library/copy.html,copy,copy,0,[]
https://docs.python.org/3/library/constants.html,constants,constants,0,[]
https://docs.python.org/3/library/configparser.html,configparser,configparser,0,[]
https://docs.python.org/3/library/concurrency.html,concurrency,concurrency,0,[]
https://docs.python.org/3/library/curses.ascii.html,curses,curses.ascii,0,[]
https://docs.python.org/3/library/colorsys.html,colorsys,colorsys,0,[]
https://docs.python.org/3/library/codeop.html,codeop,codeop,0,[]
https://docs.python.org/3/library/code.html,code,code,0,[]
https://docs.python.org/3/library/cmd.html,cmd,cmd,0,[]
https://docs.python.org/3/library/chunk.html,chunk,chunk,0,[]
https://docs.python.org/3/library/cgitb.html,cgitb,cgitb,0,[]
https://docs.python.org/3/library/ctypes.html,ctypes,ctypes,0,[]
https://docs.python.org/3/library/curses.html,curses,curses,0,[]
https://docs.python.org/3/library/calendar.html,calendar,calendar,0,[]
https://docs.python.org/3/library/difflib.html,difflib,difflib,0,[]
https://docs.python.org/3/library/email.charset.html,email,email.charset,0,[]
https://docs.python.org/3/library/dummy_threading.html,dummy_threading,dummy_threading,0,[]
https://docs.python.org/3/library/doctest.html,doctest,doctest,0,[]
https://docs.python.org/3/library/distutils.html,distutils,distutils,0,[]
https://docs.python.org/3/library/distribution.html,distribution,distribution,0,[]
https://docs.python.org/3/library/dis.html,dis,dis,0,[]
https://docs.python.org/3/library/development.html,development,development,0,[]
https://docs.python.org/3/library/curses.panel.html,curses,curses.panel,0,[]
https://docs.python.org/3/library/decimal.html,decimal,decimal,0,[]
https://docs.python.org/3/library/debug.html,debug,debug,0,[]
https://docs.python.org/3/library/dbm.html,dbm,dbm,0,[]
https://docs.python.org/3/library/datetime.html,datetime,datetime,0,[]
https://docs.python.org/3/library/datatypes.html,datatypes,datatypes,0,[]
https://docs.python.org/3/library/custominterp.html,custominterp,custominterp,0,[]
https://docs.python.org/3/library/cgi.html,cgi,cgi,0,[]
https://docs.python.org/3/library/bz2.html,bz2,bz2,0,[]
https://docs.python.org/3/library/mm.html,mm,mm,0,[]
https://docs.python.org/3/library/array.html,array,array,0,[]
https://docs.python.org/3/library/asyncio-llapi-index.html,asyncio-llapi-index,asyncio-llapi-index,0,[]
https://docs.python.org/3/library/asyncio-exceptions.html,asyncio-exceptions,asyncio-exceptions,0,[]
https://docs.python.org/3/library/asyncio-dev.html,asyncio-dev,asyncio-dev,0,[]
https://docs.python.org/3/library/asyncio-api-index.html,asyncio-api-index,asyncio-api-index,0,[]
https://docs.python.org/3/library/asynchat.html,asynchat,asynchat,0,[]
https://docs.python.org/3/library/ast.html,ast,ast,0,[]
https://docs.python.org/3/library/argparse.html,argparse,argparse,0,[]
https://docs.python.org/3/library/asyncio-policy.html,asyncio-policy,asyncio-policy,0,[]
https://docs.python.org/3/library/archiving.html,archiving,archiving,0,[]
https://docs.python.org/3/library/allos.html,allos,allos,0,[]
https://docs.python.org/3/library/aifc.html,aifc,aifc,0,[]
https://docs.python.org/3/library/_thread.html,_thread,_thread,0,[]
https://docs.python.org/3/library/_dummy_thread.html,_dummy_thread,_dummy_thread,0,[]
https://docs.python.org/3/library/__main__.html,__main__,__main__,0,[]
https://docs.python.org/3/library/asyncio-platforms.html,asyncio-platforms,asyncio-platforms,0,[]
https://docs.python.org/3/library/asyncio-protocol.html,asyncio-protocol,asyncio-protocol,0,[]
https://docs.python.org/3/library/builtins.html,builtins,builtins,0,[]
https://docs.python.org/3/library/audioop.html,audioop,audioop,0,[]
https://docs.python.org/3/library/bisect.html,bisect,bisect,0,[]
https://docs.python.org/3/library/binhex.html,binhex,binhex,0,[]
https://docs.python.org/3/library/binascii.html,binascii,binascii,0,[]
https://docs.python.org/3/library/binary.html,binary,binary,0,[]
https://docs.python.org/3/library/bdb.html,bdb,bdb,0,[]
https://docs.python.org/3/library/base64.html,base64,base64,0,[]
https://docs.python.org/3/library/atexit.html,atexit,atexit,0,[]
https://docs.python.org/3/library/asyncio-queue.html,asyncio-queue,asyncio-queue,0,[]
https://docs.python.org/3/library/asyncore.html,asyncore,asyncore,0,[]
https://docs.python.org/3/library/asyncio.html,asyncio,asyncio,0,[]
https://docs.python.org/3/library/asyncio-task.html,asyncio-task,asyncio-task,0,[]
https://docs.python.org/3/library/asyncio-sync.html,asyncio-sync,asyncio-sync,0,[]
https://docs.python.org/3/library/asyncio-subprocess.html,asyncio-subprocess,asyncio-subprocess,0,[]
https://docs.python.org/3/library/asyncio-stream.html,asyncio-stream,asyncio-stream,0,[]
https://docs.python.org/3/library/email.compat32-message.html,email,email.compat32-message,0,[]
https://docs.python.org/3/library/email.contentmanager.html,email,email.contentmanager,0,[]
https://docs.python.org/3/library/email.encoders.html,email,email.encoders,0,[]
https://docs.python.org/3/library/http.server.html,http,http.server,0,[]
https://docs.python.org/3/library/internet.html,internet,internet,0,[]
https://docs.python.org/3/library/index.html,index,index,0,[]
https://docs.python.org/3/library/imghdr.html,imghdr,imghdr,0,[]
https://docs.python.org/3/library/imaplib.html,imaplib,imaplib,0,[]
https://docs.python.org/3/library/idle.html,idle,idle,0,[]
https://docs.python.org/3/library/i18n.html,i18n,i18n,0,[]
https://docs.python.org/3/library/http.html,http,http,0,[]
